interfaceFqn	status	reason	path
org.apache.hadoop.hbase.procedure2.ProcedureInMemoryChoreJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureInMemoryChoreJVMInterface.java
org.apache.hadoop.hbase.security.visibility.CellVisibilityJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/security/visibility/CellVisibilityJVMInterface.java
org.apache.hadoop.hbase.procedure2.RemoteProcedureExceptionJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RemoteProcedureExceptionJVMInterface.java
org.apache.hadoop.hbase.security.access.TablePermissionJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/TablePermissionJVMInterface.java
org.apache.hadoop.hbase.regionserver.SecureBulkLoadManagerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/SecureBulkLoadManagerJVMInterface.java
org.apache.hadoop.hbase.quotas.QuotaObserverChoreJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/QuotaObserverChoreJVMInterface.java
org.apache.hadoop.hbase.regionserver.RegionScannerImplJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RegionScannerImplJVMInterface.java
org.apache.hadoop.hbase.filter.FilterJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/filter/FilterJVMInterface.java
org.apache.hadoop.hbase.procedure2.ProcedureEventJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureEventJVMInterface.java
org.apache.hadoop.hbase.io.hfile.BloomFilterMetricsJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/BloomFilterMetricsJVMInterface.java
org.apache.hadoop.hbase.security.access.ZKPermissionWatcherJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/security/access/ZKPermissionWatcherJVMInterface.java
org.apache.hadoop.hbase.regionserver.StoreEngineJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreEngineJVMInterface.java
org.apache.hadoop.hbase.io.ByteBuffAllocatorJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/io/ByteBuffAllocatorJVMInterface.java
org.apache.hadoop.hbase.ipc.RpcCallbackJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/RpcCallbackJVMInterface.java
org.apache.hadoop.hbase.quotas.GlobalQuotaSettingsJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/GlobalQuotaSettingsJVMInterface.java
org.apache.hadoop.hbase.client.RegionStatesCountJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/RegionStatesCountJVMInterface.java
org.apache.hadoop.hbase.ClusterIdJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/ClusterIdJVMInterface.java
org.apache.hadoop.hbase.master.cleaner.LogCleanerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/cleaner/LogCleanerJVMInterface.java
org.apache.hadoop.hbase.regionserver.CompactedHFilesDischargerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/CompactedHFilesDischargerJVMInterface.java
org.apache.hadoop.hbase.master.cleaner.HFileCleanerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/cleaner/HFileCleanerJVMInterface.java
org.apache.hadoop.hbase.regionserver.ShipperListenerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ShipperListenerJVMInterface.java
org.apache.hadoop.hbase.client.GetJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/GetJVMInterface.java
org.apache.hadoop.hbase.quotas.MasterQuotaManagerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/MasterQuotaManagerJVMInterface.java
org.apache.hadoop.hbase.master.MasterWalManagerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterWalManagerJVMInterface.java
org.apache.hadoop.hbase.nio.HBaseReferenceCountedJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/nio/HBaseReferenceCountedJVMInterface.java
org.apache.hadoop.hbase.ipc.PriorityFunctionJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/PriorityFunctionJVMInterface.java
org.apache.hadoop.hbase.procedure2.StateMachineProcedureJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/StateMachineProcedureJVMInterface.java
org.apache.hadoop.hbase.master.MasterCoprocessorHostJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterCoprocessorHostJVMInterface.java
org.apache.hadoop.hbase.master.RegionStateJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/master/RegionStateJVMInterface.java
org.apache.hadoop.hbase.master.zksyncer.ClientZKSyncerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/zksyncer/ClientZKSyncerJVMInterface.java
org.apache.hadoop.hbase.regionserver.StoreFileWriterJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFileWriterJVMInterface.java
org.apache.hadoop.hbase.master.assignment.AssignmentManagerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/AssignmentManagerJVMInterface.java
org.apache.hadoop.hbase.master.RackManagerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/RackManagerJVMInterface.java
org.apache.hadoop.hbase.http.InfoServerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-http/src/main/java/org/apache/hadoop/hbase/http/InfoServerJVMInterface.java
org.apache.hadoop.hbase.namequeues.NamedQueueRecorderJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/namequeues/NamedQueueRecorderJVMInterface.java
org.apache.hadoop.hbase.master.procedure.ServerRemoteProcedureJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/ServerRemoteProcedureJVMInterface.java
org.apache.hadoop.hbase.master.hbck.HbckChoreJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/hbck/HbckChoreJVMInterface.java
org.apache.hadoop.hbase.mob.MobFileJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/mob/MobFileJVMInterface.java
org.apache.hadoop.hbase.fs.HFileSystemJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/fs/HFileSystemJVMInterface.java
org.apache.hadoop.hbase.master.assignment.SplitTableRegionProcedureJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/SplitTableRegionProcedureJVMInterface.java
org.apache.hadoop.hbase.master.procedure.AbstractStateMachineRegionProcedureJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/AbstractStateMachineRegionProcedureJVMInterface.java
org.apache.hadoop.hbase.regionserver.StoreFlusherJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFlusherJVMInterface.java
org.apache.hadoop.hbase.zookeeper.RecoverableZooKeeperJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-zookeeper/src/main/java/org/apache/hadoop/hbase/zookeeper/RecoverableZooKeeperJVMInterface.java
org.apache.hadoop.hbase.io.ReferenceJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/io/ReferenceJVMInterface.java
org.apache.hadoop.hbase.zookeeper.ZKNodeTrackerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-zookeeper/src/main/java/org/apache/hadoop/hbase/zookeeper/ZKNodeTrackerJVMInterface.java
org.apache.hadoop.hbase.RawCellJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/RawCellJVMInterface.java
org.apache.hadoop.hbase.master.janitor.CatalogJanitorReportJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/janitor/CatalogJanitorReportJVMInterface.java
org.apache.hadoop.hbase.master.procedure.TruncateRegionProcedureJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/TruncateRegionProcedureJVMInterface.java
org.apache.hadoop.hbase.util.ObjectIntPairJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/util/ObjectIntPairJVMInterface.java
org.apache.hadoop.hbase.CellJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/CellJVMInterface.java
org.apache.hadoop.hbase.client.CheckAndMutateJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/CheckAndMutateJVMInterface.java
org.apache.hadoop.hbase.master.TableDescriptorGetterJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/TableDescriptorGetterJVMInterface.java
org.apache.hadoop.hbase.net.AddressJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/net/AddressJVMInterface.java
org.apache.hadoop.hbase.io.hfile.FixedFileTrailerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/FixedFileTrailerJVMInterface.java
org.apache.hadoop.hbase.zookeeper.ZKListenerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-zookeeper/src/main/java/org/apache/hadoop/hbase/zookeeper/ZKListenerJVMInterface.java
org.apache.hadoop.hbase.zookeeper.ZNodePathsJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/zookeeper/ZNodePathsJVMInterface.java
org.apache.hadoop.hbase.client.QueryJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/QueryJVMInterface.java
org.apache.hadoop.hbase.ipc.CallRunnerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/CallRunnerJVMInterface.java
org.apache.hadoop.hbase.replication.ReplicationPeerConfigJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/replication/ReplicationPeerConfigJVMInterface.java
org.apache.hadoop.hbase.monitoring.MonitoredTaskImplJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/monitoring/MonitoredTaskImplJVMInterface.java
org.apache.hadoop.hbase.master.procedure.TableProcedureInterfaceJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/TableProcedureInterfaceJVMInterface.java
org.apache.hadoop.hbase.client.DeleteJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/DeleteJVMInterface.java
org.apache.hadoop.hbase.client.AttributesJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AttributesJVMInterface.java
org.apache.hadoop.hbase.procedure2.RemoteProcedureDispatcherJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RemoteProcedureDispatcherJVMInterface.java
org.apache.hadoop.hbase.security.access.AuthManagerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/security/access/AuthManagerJVMInterface.java
org.apache.hadoop.hbase.util.PairJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/util/PairJVMInterface.java
org.apache.hadoop.hbase.master.procedure.AbstractStateMachineTableProcedureJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/AbstractStateMachineTableProcedureJVMInterface.java
org.apache.hadoop.hbase.util.NettyEventLoopGroupConfigJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/util/NettyEventLoopGroupConfigJVMInterface.java
org.apache.hadoop.hbase.quotas.RpcQuotaManagerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/RpcQuotaManagerJVMInterface.java
org.apache.hadoop.hbase.procedure2.RemoteProcedureJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RemoteProcedureJVMInterface.java
