interfaceFqn	originalClassFile	outcome	bridgesAdded	reason
org.apache.hadoop.hbase.master.assignment.AssignmentManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/AssignmentManager.java	implemented	0	
org.apache.hadoop.hbase.master.SnapshotOfRegionAssignmentFromMetaJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/SnapshotOfRegionAssignmentFromMeta.java	implemented	0	
org.apache.hadoop.hbase.master.MasterServicesJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterServices.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.master.MasterWalManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterWalManager.java	implemented	0	
org.apache.hadoop.hbase.master.janitor.CatalogJanitorJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/janitor/CatalogJanitor.java	implemented	0	
org.apache.hadoop.hbase.master.janitor.CatalogJanitorReportJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/janitor/CatalogJanitorReport.java	implemented	0	
org.apache.hadoop.hbase.master.procedure.AbstractStateMachineTableProcedureJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/AbstractStateMachineTableProcedure.java	implemented	0	
org.apache.hadoop.hbase.master.procedure.AbstractStateMachineRegionProcedureJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/AbstractStateMachineRegionProcedure.java	implemented	0	
org.apache.hadoop.hbase.master.procedure.TableProcedureInterfaceJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/TableProcedureInterface.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.master.procedure.MasterProcedureSchedulerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/MasterProcedureScheduler.java	implemented	0	
org.apache.hadoop.hbase.master.procedure.ServerRemoteProcedureJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/ServerRemoteProcedure.java	implemented	0	
org.apache.hadoop.hbase.master.procedure.SnapshotVerifyProcedureJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/SnapshotVerifyProcedure.java	implemented	0	
org.apache.hadoop.hbase.master.procedure.RSProcedureDispatcherJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/RSProcedureDispatcher.java	implemented	0	
org.apache.hadoop.hbase.master.procedure.MasterProcedureEnvJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/MasterProcedureEnv.java	implemented	0	
org.apache.hadoop.hbase.master.procedure.TruncateRegionProcedureJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/TruncateRegionProcedure.java	implemented	0	
org.apache.hadoop.hbase.master.region.MasterRegionJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/region/MasterRegion.java	implemented	0	
org.apache.hadoop.hbase.master.MasterRpcServicesJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterRpcServices.java	implemented	0	
org.apache.hadoop.hbase.master.DeadServerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/DeadServer.java	implemented	0	
org.apache.hadoop.hbase.master.MetricsAssignmentManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MetricsAssignmentManager.java	implemented	0	
org.apache.hadoop.hbase.master.ServerManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerManager.java	implemented	0	
org.apache.hadoop.hbase.master.replication.ReplicationPeerManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/replication/ReplicationPeerManager.java	implemented	0	
org.apache.hadoop.hbase.master.normalizer.RegionNormalizerManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/normalizer/RegionNormalizerManager.java	implemented	0	
org.apache.hadoop.hbase.master.MasterCoprocessorHostJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterCoprocessorHost.java	implemented	0	
org.apache.hadoop.hbase.master.cleaner.LogCleanerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/cleaner/LogCleaner.java	implemented	0	
org.apache.hadoop.hbase.master.cleaner.HFileCleanerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/cleaner/HFileCleaner.java	implemented	0	
org.apache.hadoop.hbase.master.cleaner.CleanerChoreJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/cleaner/CleanerChore.java	implemented	0	
org.apache.hadoop.hbase.master.zksyncer.MetaLocationSyncerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/zksyncer/MetaLocationSyncer.java	implemented	0	
org.apache.hadoop.hbase.master.zksyncer.ClientZKSyncerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/zksyncer/ClientZKSyncer.java	implemented	0	
org.apache.hadoop.hbase.master.MetricsMasterJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MetricsMaster.java	implemented	0	
org.apache.hadoop.hbase.master.SplitOrMergeStateStoreJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/SplitOrMergeStateStore.java	implemented	0	
org.apache.hadoop.hbase.master.SplitWALManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/SplitWALManager.java	implemented	0	
org.apache.hadoop.hbase.master.TableDescriptorGetterJVMInterface	not-found	noClassFound	0	class file not found
org.apache.hadoop.hbase.ServerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/Server.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.ipc.PriorityFunctionJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/PriorityFunction.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.ipc.HBaseRPCErrorHandlerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/HBaseRPCErrorHandler.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.ipc.RpcSchedulerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/RpcScheduler.java	implemented	0	
org.apache.hadoop.hbase.ipc.CallRunnerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/CallRunner.java	implemented	0	
org.apache.hadoop.hbase.ipc.CallQueueInfoJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/CallQueueInfo.java	implemented	0	
org.apache.hadoop.hbase.ipc.RpcCallbackJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/RpcCallback.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.executor.EventHandlerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/executor/EventHandler.java	implemented	0	
org.apache.hadoop.hbase.executor.ExecutorServiceJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/executor/ExecutorService.java	implemented	0	
org.apache.hadoop.hbase.monitoring.TaskGroupJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/monitoring/TaskGroup.java	implemented	0	
org.apache.hadoop.hbase.monitoring.MemoryBoundedLogMessageBufferJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/monitoring/MemoryBoundedLogMessageBuffer.java	implemented	0	
org.apache.hadoop.hbase.monitoring.MonitoredTaskImplJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/monitoring/MonitoredTaskImpl.java	implemented	0	
org.apache.hadoop.hbase.monitoring.MonitoredTaskJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/monitoring/MonitoredTask.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.MetaRegionLocationCacheJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/MetaRegionLocationCache.java	implemented	0	
org.apache.hadoop.hbase.fs.HFileSystemJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/fs/HFileSystem.java	implemented	0	
org.apache.hadoop.hbase.mob.MobFileJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/mob/MobFile.java	implemented	0	
org.apache.hadoop.hbase.mob.MobCellJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/mob/MobCell.java	implemented	0	
org.apache.hadoop.hbase.mob.MobFileCacheJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/mob/MobFileCache.java	implemented	0	
org.apache.hadoop.hbase.mob.RSMobFileCleanerChoreJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/mob/RSMobFileCleanerChore.java	implemented	0	
org.apache.hadoop.hbase.client.locking.EntityLockJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/client/locking/EntityLock.java	implemented	0	
org.apache.hadoop.hbase.http.InfoServerJVMInterface	/Users/allenwang/xlab/hbase/hbase-http/src/main/java/org/apache/hadoop/hbase/http/InfoServer.java	implemented	0	
